,Question,Sub_Question,location,counts
123,Have you secured a job offer or internship?,Response,123,"{'No': 544, 'Yes': 479, 'I am not actively searching for a job': 248}"
124,Which of the following have you secured?,Summer 2022 Internship,124,{'Summer 2022 Internship': 317}
125,,Full-time Employment,False,{'Full-time Employment': 171}
126,,Fall/Spring Internship,False,{'Fall/Spring Internship': 24}
127,Where did you find out about this job opening?,Response,127,"{'Company website': 144, 'LinkedIn': 129, 'Personal contacts and/or friends': 79, 'Other (please specify)': 49, 'GCP (including VMock)': 23, 'Career fairs/Employer Expo Events': 21, 'Advisor': 13, 'Career Placement Officers': 13, 'Faculty': 7, 'Department administration': 4, 'Engineering Graduate Student Council (EGSC)/SEAS networking events': 1}"
128,,Other (please specify),False,"{'Google': 3, 'Handshake': 2, 'Glassdoor': 2, 'Internship': 2, 'My own return offer.': 1, 'alumni panel': 1, 'Friend': 1, 'Company websites ': 1, 'Scholarship': 1, 'Boston career forum': 1, 'Applying on company website directly.': 1, 'Already working full-time': 1, 'Had a full time job before staring my graduate career. Started a new job in the beginning of the second semester of graduate school.': 1, 'ongoing research collaboration': 1, 'Company reached out to me': 1, 'online': 1, ""Previous school's career program"": 1, 'Government fellowship': 1, 'Position formed based on reachign out to alumni networking': 1, 'Undergraduate program': 1, 'Received full time offer during final semester as an undergraduate': 1, 'internship ': 1, 'AngelList': 1, 'Recruiter contacted': 1, 'I had to reach out to my previous employer': 1, 'From previous experience before Columbia': 1, ""Prior University's Career Fair"": 1, 'job listing on GitHub ': 1, 'New York Life Sci internship ': 1, 'Continuing into PhD program': 1, 'via GEM Fellowship ': 1, 'I had this job prior to enrollment ': 1, 'And company website ': 1, 'From project consulting activity during class': 1, 'BME Opportunities page': 1, 'GitHub': 1, 'CODE2040': 1, 'I applied to a job even before starting my masters studies.': 1, 'Company Job Site': 1, 'i was head hunted': 1, 'contacted by recruiter on platform': 1, 'new york career site': 1, 'Contact from my undergraduate institution': 1, 'from wechat': 1}"
129,Which best describes the sector you will be working in?,Response,129,"{'Industry - Degree related engineering field': 411, 'Industry - Non-engineering field': 35, 'Other (please specify)': 16, 'Industry -  Non-degree related engineering field': 13, 'Academia- Post-Doc Position': 4}"
130,,Other (please specify),False,"{'Military': 2, 'Academia - research position': 1, 'Consulting ': 1, 'Medicine': 1, 'Investment bank-IBD': 1, 'faculty + industry': 1, ""Govenment -- also, this is only an offer, and I haven't accepted."": 1, 'research internship': 1, 'Academia - Research Assistant ': 1, 'Industry': 1, 'non profit': 1, 'Industry- Degree related non-engineering': 1, 'Federal Government, Defense Technology and Acquisition': 1, 'Private Wealth Management': 1, 'finance': 1}"
131,Which of the following best describes the firm you will be working in:,Response,131,"{'Corporate': 377, 'Start-Up': 43, 'Government': 16, 'Other (please specify)': 16, 'Small Business': 15, 'Education (University, College, High School)': 9, 'Non-Profit': 3}"
132,,Other (please specify),False,"{'consulting': 2, 'Finance and Consulting': 1, 'financial service': 1, 'corporate + school': 1, 'Tech company': 1, 'Tech': 1, 'Research Institution Company': 1, 'Medical Center Research': 1, 'Marketing': 1, 'Analytics consulting': 1, 'Agriculture - Private fortune 500': 1, 'Consulting': 1, 'Proprietary Trading Firm - Hedge Fund': 1, 'mutual fund': 1, 'Sports': 1}"
133,"If you are graduating this semester, please check the option(s) that best represent your plan upon completing your degree program. If not graduating, check ""I am undecided about post-graduation plans"".",I intend to launch my own start-up,133,{'I intend to launch my own start-up': 36}
134,,I intend to take time off,False,{'I intend to take time off': 30}
135,,I intend to continue my studies/research,False,{'I intend to continue my studies/research': 148}
136,,I intend to work full-time,False,{'I intend to work full-time': 619}
137,,I am undecided about post-graduation plans,False,{'I am undecided about post-graduation plans': 568}
138,Which of the following have you used to develop alumni contacts (check all that apply)?,I have not been actively developing alumni contacts,138,{'I have not been actively developing alumni contacts': 417}
139,,"Alumni Associations (CEAA, CEYA, CAA)",False,"{'Alumni Associations (CEAA, CEYA, CAA)': 115}"
140,,Events organized by the Alumni Affairs Office,False,{'Events organized by the Alumni Affairs Office': 130}
141,,Events organized by EGSC or Office of Graduate Student Affairs,False,{'Events organized by EGSC or Office of Graduate Student Affairs': 233}
142,,Faculty,False,{'Faculty': 287}
143,,Graduate Engineer's Connect,False,"{""Graduate Engineer's Connect"": 145}"
144,,Department administration,False,{'Department administration': 156}
145,,Friends,False,{'Friends': 779}
146,,"Events organized by student groups (CCV, CEEC, CFEC, DGE, DSISC, ELC, GEEC, GoBME, GradSWE, HinduYUVA, MEGA, PMC, qSTEM, SPICMACAY)",False,"{'Events organized by student groups (CCV, CEEC, CFEC, DGE, DSISC, ELC, GEEC, GoBME, GradSWE, HinduYUVA, MEGA, PMC, qSTEM, SPICMACAY)': 114}"
147,,Professional Development and Leadership (PDL) Program,False,{'Professional Development and Leadership (PDL) Program': 167}
148,,Other (please specify),False,"{'LinkedIn': 27, 'linkedin': 9, 'LinkedIn ': 7, 'Linkedin': 5, 'Family referrals': 1, 'Mentorship': 1, 'Company info session': 1, ""Although the resources have been made available (mostly) it is incredibly difficult to do this as an introvert. The programmes and PDL sessions don't really give any practical advice on this (perhaps because all the PDL etc hosts are somewhat extroverted so it does not occur to them, or perhaps it is a personality trait that will just make networking more difficult and there's not too much that can be done about it). "": 1, ' None': 1, 'Lab Alumnis': 1, 'Through PI': 1, 'Linkedin, well if all searching by LinkedIn ourselves, which is the current situation, I did not know what school is helping.': 1, 'Department mentorship program': 1, 'Department Alumni LinkedIn Group': 1, 'none': 1, 'Linkedin and self search': 1, 'various young professionals clubs in the city': 1, ""These are offered so rarely, I'm offended its even being asked as a question like this!"": 1, 'Other career networking through career programs in NYC': 1, 'alumni presentations from department of biomedical sciences': 1, 'IEOR Career placement team': 1, 'LinkedIn (The career team should provide LinkedIn premium to all program participants because the LinkedIn feature is quite valuable.)': 1, ""Other school's student groups"": 1, 'no': 1, 'Alumni': 1, 'Career Center': 1, 'Linkedin direct messaging': 1, 'CTV': 1, 'IEOR Alumni Mentorship Program': 1, 'DSI Alumni': 1, 'None': 1}"
149,I am likely to return to Columbia as an alum to take part in online or in-person networking events.,Response,149,"{4: 581, 3: 312, 5: 249, 2: 82, 1: 47}"
150,Why would you not likely attend networking events as an alum?,Response,150,"{""I don't find the current networking events appealing"": 69, ""I'm not aware of opportunities to stay involved"": 29, ""I'll be relocating to another part of the country or abroad"": 25, 'Other (please specify)': 7}"
151,,Other (please specify),False,"{'Generally not interested ': 1, ""I haven't felt any strong motivation to stay connected to any alumni network (Columbia or my previous undergraduate institution). I don't see that changing in the future. "": 1, ""I'm so dissatisfied with my time at Columbia that I don't plan on having anything to do with the school for some time after graduation."": 1, 'not interested': 1, 'I am not interested in continuing my involvement post graduation at an institution that normalizes and codifies harassment on the basis or race, gender/sex, and disability status. ': 1, 'I believe that Columbia is just a cash cow university for MS computer science students and this program is a waste of time and money. ': 1, 'Columbia has not offered me enough to want me to contribute back. If career services improves, I will gladly contribute. ': 1}"
152,Please enter any additional feedback regarding alumni networking events.,Open-Ended Response,152,"{'there need to be more intimate settings. its hard to network if someone is talking far away on the stage and you cant have a personal conversation with them. ': 1, 'Would be better if Columbia creates a platform similar to LinkedIn to connect to alumni because sometimes some if th alumni ghosted me on LinkedIn when I really needed guidance.': 1, ""These questions were irrelevant because I'm not graduating now but I couldn't skip them"": 1, 'Nothing for me': 1, 'Maybe include more alumni working in the academia': 1, 'COMS4232 is completely trash. They hired TAs who cant even understand basic maths.': 1, 'I think only one such event was conducted online before I started at Columbia.': 1, 'I have not been aware of these alumni networking events.': 1, 'Panels and networking sessions afterwards are interesting ': 1, 'Need more events like graduate engineers connect.  In person, with more regularity than just once per year.': 1, '-': 1, 'More alumni events should take place which is department specific.': 1, 'More events(help) for international students please': 1, 'did not know these were happening and should be more tailored toward helping us find internships rather than just networking': 1, ""There should be more alumni networking events and less coffee houses and random club bookings. Then when there is an event, it shouldn't sell out in 45 seconds! Make enough room for the students who want to attend."": 1, 'There are not enough formal alumni and student networking events. Many students here do not come from a privileged background or a large network at home, we have to rely on alumni connections facilitated by the school. ': 1, 'I feel the overall motive of the events is quantity rather than quality. A lot of people are from the same industry(Mostly Banks and Asset Management). It would be better to have more people from Buy Side firms.': 1, 'It will be great if we can have a mentorship program that matches a alumni with a student to provide guidance or advise for career path.': 1, 'When and where do they happen? I am not aware of any such event in Spring.': 1, 'DNE': 1, 'very few are related to my field of interest': 1, 'What networking events': 1, 'I would love to see PhD alumni come back and discuss what they did post-graduation. Perhaps department-specific or industry-specific seminar series where alumni discuss what their job is like on a day-to-day and why they decided to work there. If they’ve had multiple jobs, it would be great to hear about that as well. PIs could reach out to previous students, they’d likely respond better to their PI than to an unknown person. ': 1, 'Having deep conversation with alumni is helpful': 1, 'It would be extremely helpful to host an extended one day event that organizes alumni by career paths and allow students to sit in on info sessions as well as provide networking opportunities.  For example, I am MSFE.  It would have been helpful to have a day that goes over typical career options of risk management, quantitative trading, quant development, quant research, general finance, etc. etc..  The mini sessions throughout the semester are nice but having one big event like before classes maybe even start to then allow students to understand better what jobs to look for and where alumni are present would be extremely helpful. ': 1, 'it is great': 1, 're: alumni mentorship program. May be helpful to note the experience/age gap between mentors and mentees that are paired together. Younger/recent graduate alumnis should be paired with undergraduate students instead of graduate students.': 1, 'I haven’t been a part of any alumni events so far.': 1, ""A lot of them are not at the companies I'm interested in but it is still nice learning about their journey"": 1, 'I may reconsider coming back for alumni events in the future, but I will have to overcome a general distaste for the university.': 1, '/': 1, 'Please organize in-person events so you can really connect with them': 1, 'Would love to see in-person Alumni events! (good ole days)': 1, 'Not enough events': 1, 'It would be helpful to have more sessions across more areas.': 1, 'There should be more alumni networking events and preferably in person': 1, ""I wish I attended more of them, but many of the alumni events were centered around other fields that didn't fall under my degree programme or my interests. "": 1, ""Bring back Graduate Engineers' Connect, and do it twice a year at least. "": 1, 'Alumni network is quite well and helpful to motivate and support in job search.': 1, 'hope to have more events with masks': 1, ""I find the Columbia Alumini network not that helpful. I have friends at other colleges like Warton, Duke, and CMU, their alumni network really goes out of the way to help a fellow from their college. They provide referrals, connect to colleagues with similar interests to help, etc. Compared to that, I found our alumni to be very unattached to the college, the best they do is accept the LinkedIn request but they don't go any further in most cases. Maybe it's related to their own experience at Columbia but college should really try to reach out and build a strong connected alumni network as 10-15 years down the line that would be the only differentiating factor for choosing this college over others."": 1, 'Please do not mislead networking events as ""real employment opportunities"". One of the event was literally advertised as that and said that this event has hiring managers. The truth was that it only had alumnis who were just there to share experience but were neither recruiting nor were much helpful in referring.  The only good thing amongst these events is the ""IEOR Career Talk Series"" where we actually learnt about how seniors got their jobs. That is good but please focus to improve on networking events that actually lead to employment or grabbing internships.': 1, '1. Need to have more 1:1 sessions.': 1, 'We need more alumni events.': 1, 'We had only one alumni networking event and it was very useless!   There were no helpful alumni in the event!': 1, 'My mentor is really helpful.': 1, 'It would be better if more alumni networking event can be hold by the department': 1, 'Alumini should speak the truth about their experience and talk about actual struggle they had during graduate studies': 1, ""I don't wish to entertain opportunities to return to Columbia."": 1, 'I would attend if I knew of them': 1, 'More often it should be connected and industry specific': 1, 'More in-person events. ': 1, 'I would like them to be in-person.': 1, 'compared to peer institutions, the culture at columbia is cold and institutional, which is the root cause of lack of almuni engagement': 1, 'useful': 1, 'Social events in Engineering are not so active like other schools.': 1, ""I have not participated in many of these events. I participated in one event when asked by my advisor, and enjoyed it, but I generally don't feel I have been advised on how and why to take advantage of these opportunities (so have not pursued them)."": 1, 'More feedback from current or past PhD students, please!': 1, 'Satisfied': 1, 'Make a guideline book or website to introduce how alumni networking events run.': 1, 'There was no in-person event organized, the virtual ones do not ensure that alumni actually join, and do not provide the same quality. ': 1, 'my mentor, one of the alumni, just disappear and cannot be connected after the event...': 1, 'Please keep it smaller groups and more personalized, and please take into account what students really want. For instance, in the BME dept. there were no consulting companies/opportunities represented even though many BME students are interested in consulting.': 1, 'I would not engage with the Career Placement Office after graduation because I have found them so unhelpful during my time at Columbia. Finding out that Emily recommends certain students over others based on her subjective criteria makes me think that if I had a job to offer I would not want to work with Columbia to post it. ': 1, ""I've never attended any."": 1, ""I'm not the best judge since I never actively participated."": 1, 'I think these kind of events should be focused more as these help the students connect really well and gives the level field for everyone to try and make significant connections.': 1, ""Feels like there haven't been that many, or perhaps  I missed it. If there were some mixers or social where we could connect with Alumni that would be great."": 1, ""I felt those events are not that effective for students since there are too many students in the meeting and it's so hard to really connect with the people. I would prefer small groups. "": 1, 'Events are good but sometimes the tickets are hard to get.': 1, 'In-person alumni networking events would be great': 1, 'I find that our alumni connections are over-saturated with few exciting opportunities to engage with alumni.': 1, 'Wish Columbia fostered community ': 1, 'They could use more visibility': 1, 'No comments': 1, 'It would be appreciated if there are such events': 1, 'It is helpful to have a breakout rooms so that students can have personalized one to one interactions': 1, 'The mentorship program started by the career team in the month of January has been very useful, but I believe this should have started at the beginning of the program since I could have saved some time that I took in learning the process by myself. Instead, I would have had a mentor as a go-to person to seek advice from and could have made the most of this mentorship program during my internship search. Also, small cohorts could be formed where similar-interested students could connect with alumni working in particular domains like consulting, etc. This will create a sustainable cycle, and current students who have benefited from it will also be willing to help future students.': 1, 'Not applicable ': 1, 'I wish we had more ': 1, 'no': 1, 'Alumni is one of the strongest points of Columbia  I received my job because of the alumni': 1, ""The frequency of these events hasn't been great since the pandemic and I hope this can be improved"": 1, ""Didn't know about them"": 1, 'Good': 1, 'We need to maintain alumni contacts details, the firm they are currently working in a single place like google doc/something similar. This will reduce the huge amount of time we spend in searching for seniors on LinkedIn': 1, 'As a Ph.D. student, I was unaware that alumni networking events were available to attend. ': 1, 'We can have a facebook group.': 1, 'More resume drop events would have helped me secure an internship earlier.': 1, 'It would be fantastic to see greater efforts to foster interaction between alumni and current students, way beyond simply meeting them virtually and adding them on LinkedIn.': 1, 'Can do a lot better': 1, 'more encouragement for current students to participate': 1, 'I wish we had more time to talk and meet the professionals from the info sessions. ': 1, ""Why can't I select that I am not graduating soon  "": 1}"
153,I have enjoyed or would enjoy attending the following types of events sponsored or co-sponsored by EGSC or GSA:,"Themed social events (Harry Potter Trivia Night, Gaming Night, etc.)",153,"{4: 491, 3: 375, 5: 273, 2: 98, 1: 34}"
154,,"Off-Campus socials (Boat Cruise, Rooftop socials, Amity Hall, etc...)",False,"{4: 487, 5: 468, 3: 252, 2: 46, 1: 18}"
155,,"Interschool events (Festifall, Mel's Burger Bar Mixer, Poker Night, etc.)",False,"{4: 508, 3: 348, 5: 325, 2: 64, 1: 26}"
156,,"Entertainment (Sports games, AMC movie nights, etc.)",False,"{4: 537, 5: 361, 3: 301, 2: 51, 1: 21}"
157,,"Organized sporting activities (Bowling, ice skating, ski trips etc.)",False,"{4: 499, 5: 356, 3: 328, 2: 62, 1: 26}"
158,,"Performance Arts (Broadway Shows, ballet, opera, NY Philharmonic, etc.)",False,"{4: 471, 5: 422, 3: 316, 2: 41, 1: 21}"
159,,"Events organized by student groups (CCV, CEEC, CFEC, DGE, DSISC, ELC, GEEC, GoBME, GradSWE, HinduYUVA, MEGA, PMC, qSTEM, SPICMACAY)",False,"{4: 500, 3: 434, 5: 250, 2: 57, 1: 30}"
160,,"On-campus gatherings (Carleton Commons socials, watching sports games, etc.)",False,"{4: 540, 5: 342, 3: 297, 2: 69, 1: 23}"
161,How satisfied are you with the following?,Overall sense of community within SEAS,161,"{'Satisfied': 515, 'Neither satisfied nor dissatisfied': 353, 'Dissatisfied': 177, 'Very satisfied': 159, 'Very dissatisfied': 67}"
162,,Overall sense of community within my department,False,"{'Satisfied': 523, 'Neither satisfied nor dissatisfied': 310, 'Dissatisfied': 183, 'Very satisfied': 181, 'Very dissatisfied': 74}"
163,,Number of social events and programs within SEAS,False,"{'Satisfied': 557, 'Neither satisfied nor dissatisfied': 366, 'Very satisfied': 155, 'Dissatisfied': 143, 'Very dissatisfied': 50}"
164,,Diversity of social events and programs within SEAS,False,"{'Satisfied': 589, 'Neither satisfied nor dissatisfied': 368, 'Very satisfied': 172, 'Dissatisfied': 104, 'Very dissatisfied': 38}"
165,,Diversity of student groups within SEAS,False,"{'Satisfied': 520, 'Neither satisfied nor dissatisfied': 366, 'Very satisfied': 194, 'Dissatisfied': 133, 'Very dissatisfied': 58}"
166,,Capacity/number of tickets available for EGSC/GSA events,False,"{'Neither satisfied nor dissatisfied': 356, 'Satisfied': 325, 'Dissatisfied': 272, 'Very dissatisfied': 205, 'Very satisfied': 113}"
167,,Pricing of tickets for EGSC/GSA events,False,"{'Satisfied': 548, 'Neither satisfied nor dissatisfied': 385, 'Very satisfied': 195, 'Dissatisfied': 112, 'Very dissatisfied': 31}"
168,The following events have helped me network with my peers,GSA events (including orientation),168,"{4: 443, 3: 318, 5: 252, 'Not Applicable': 124, 2: 85, 1: 49}"
169,,Department-sponsored events,False,"{4: 444, 3: 295, 5: 286, 'Not Applicable': 119, 2: 81, 1: 46}"
170,,EGSC events,False,"{4: 452, 5: 301, 3: 297, 'Not Applicable': 114, 2: 68, 1: 39}"
171,,"Other student group-sponsored events (CCV, CEEC, CFEC, DGE, DSISC, ELC, GEEC, GoBME, GradSWE, HinduYUVA, MEGA, PMC, qSTEM, SPICMACAY)",False,"{3: 423, 4: 284, 5: 214, 'Not Applicable': 191, 2: 107, 1: 52}"
172,,Professional Development and Leadership (PDL) Program,False,"{3: 347, 4: 319, 5: 227, 2: 182, 'Not Applicable': 109, 1: 87}"
173,"If you have read the survey up to this point, please select the number two (2). By selecting number 2, you'll be entered to win one of the prizes. Subsequent questions to follow.",Response,173,{'2': 1271}
174,Orientation helped me become acclimated with:,University resources,174,"{4: 629, 3: 288, 5: 171, 2: 113, 1: 70}"
175,,Columbia campus,False,"{4: 629, 3: 246, 5: 207, 2: 121, 1: 68}"
176,,New York City,False,"{4: 434, 3: 382, 2: 204, 5: 142, 1: 109}"
177,,My department,False,"{4: 675, 3: 244, 5: 187, 2: 101, 1: 64}"
178,,Student groups,False,"{4: 503, 3: 371, 2: 180, 5: 137, 1: 80}"
179,,EGSC/Office of Graduate Student Affairs,False,"{4: 583, 3: 357, 5: 148, 2: 111, 1: 72}"
180,"Please list any interests that you have that are not currently served by EGSC recognized student groups (CCV, CEEC, CFEC, DGE, DSISC, ELC, GEEC, GoBME, GradSWE, HinduYUVA, MEGA, PMC, qSTEM, SPICMACAY):",Open-Ended Response,180,"{'-': 4, 'None': 3, 'CORE^2': 2, 'MEGA': 2, 'Where is CORE^2?': 2, 'CCV': 2, 'More physical activities like Ice-skating, museum visits etc. ': 1, 'NA.': 1, 'No': 1, 'It would be helpful if you explained all these abbreviations...': 1, 'Why is Core^2 not mentioned? I have found their events helpful in creating a community for URM. Should be more support in this area': 1, 'Not farmilar with this': 1, 'goBME intramurals have been great but need more participation': 1, 'Where is CORE^2': 1, 'Programming Skills': 1, 'chinese student union': 1, 'Hiking and birdwatching': 1, 'CORE2 is missing!': 1, 'Chemical engineering- the ChemE student group is so inactive    Also wish groups like GoBME were more inclusive, because BME/ChemE has a lot of overlaps, and students often have overlapping interests ': 1, 'COMS4232 is completely trash. They hired a TA who cant even understand basic maths.': 1, ""I don't really think there is an active Photography/Videography group in Columbia and that's dissapointing."": 1, 'What happened to the energy club?': 1, 'WHERE IS CORE^2?': 1, 'more networking with alum': 1, 'Hispanic community group': 1, 'Anything defense or policy related, government related work': 1, 'Music Industry': 1, 'I literally have no idea what any of these acronyms mean': 1, 'Alumni, peer to peer networking and Careee placement': 1, 'photography': 1, 'IEOR related: IISE/INFORMS (for Grads)/Alpha Pi Mu    Something that connects people of the same faith in the whole engineering school': 1, 'Everything is being handled': 1, 'Arts: Columbia MPP, CUO, performance groups, etc.': 1, 'Civil Engineering, construction': 1, 'Snooker event maybe': 1, 'Graduate Computer Science Students,  Career Placement, Career Fairs, Social Events, Indian Students Association': 1, 'HinduYUVA,PMC, qSTEM': 1, 'Columbia have couple of resources for each individual student and their needs.': 1, 'basketball': 1, 'I am interested in learning more about research projects and I believe that it would be nice to have a student group for research as well.': 1, 'parties & trying out different restaurants around the city, building community among different groups': 1, 'Crafting, like cross stitch or embroidery. Baking.': 1, 'more GoBME networking company events to secure internships': 1, ""Actually, I don't know what is that."": 1, 'NO': 1, 'DNE': 1, 'Not applicable.': 1, 'where is the queer representation? Are we a joke?': 1, 'Please start ': 1, 'I don’t even know these student groups, and so do a lot of my peers. Hopefully, Columbia can do a better job at informing us of these groups. One suggestion would be an “associations on display” event where we can interact with current members of the student groups and learn the different groups present. ': 1, 'CORE^2, minorities in STEM, outreach specifically for the Black community': 1, 'Non-traditional CS students (like the MS Bridge students)': 1, 'EGSC': 1, 'working on projects to improve resume, improve interview skills': 1, 'Sports/athletics clubs -- either intramural, recreational, watching, etc... these seem nice for physical/mental health and I suppose reflect my personal interests': 1, 'Poker': 1, 'none': 1, 'CEEC, PMC,DGE': 1, 'seems not yet?': 1, 'Having a group for neurodiverse people would be useful': 1, ""I don't have any particular interests, but I will say I spend most of my time at ZI and I never hear or see flyers or anything for EGSC related anything's. The emails get list in my inbox"": 1, 'GradSWE': 1, 'Organizations like National Society of Black Engieers': 1, ""It's awesome right now."": 1, 'CFEC, DGE': 1, 'Do not even know what they are except EGSC.': 1, 'A grad school prom, mixers with other master programs (mbas, public health, etc.), more tickets so I can actually attend an event… I’ve been trying for a year now and it’s actually sad to watch everyone having fun and I’ve never been allowed to go. :( I even sign up as the event opens for the ones I’m excited about and always lost out. ': 1, 'broadway': 1, 'Biotechnology': 1, 'There was no proper orientation for students joining in Spring 2021, just a recorded video, and all my excitement to join Columbia was turned down by seeing such a cold response. Even the local colleges elsewhere have a better orientation event and create a buzz about it. ': 1, 'Ccv ': 1, 'quantum computing': 1, 'Nothing as such!': 1, 'HinduYUVA': 1, 'GradSWE, CEEC': 1, 'qStem ': 1, 'Ccv?': 1, 'None that I can think of at the moment': 1, 'GoBME': 1, 'Off campus activities like hiking': 1, 'sports': 1, 'What are these?': 1, 'dating': 1, 'GEEC': 1, 'Sustainability or Climate group ': 1, 'Students with kids': 1}"
